ID,Title,Year,Certificate,Time,Genre,IMDB rating,Metascore,Number of vote,Movie link
tt1558182,Call Me Fitz,(2010–2013),No-certificate,runtime-unknow,Comedy,7.2,-1,1516,/title/tt1558182/?ref_=adv_li_tt
tt4437216,Goat,(2016),R,96 min,Drama,5.7,64,7742,/title/tt4437216/?ref_=adv_li_tt
tt0284534,Swingers,(2002),No-certificate,93 min,"Drama, Romance",5.6,-1,1199,/title/tt0284534/?ref_=adv_li_tt
tt6023242,Obsession,(IV) (2019),TV-MA,90 min,Thriller,5.1,-1,626,/title/tt6023242/?ref_=adv_li_tt
tt3280150,The Heavy Water War: Stopping Hitler's Atomic Bomb,(2015),TV-14,45 min,"Drama, History, War",8.0,-1,6989,/title/tt3280150/?ref_=adv_li_tt
tt0111701,White Fang 2: Myth of the White Wolf,(1994),PG,106 min,"Adventure, Family",5.5,-1,2298,/title/tt0111701/?ref_=adv_li_tt
tt0099180,Bride of Re-Animator,(1990),R,96 min,"Comedy, Horror, Sci-Fi",6.3,54,15534,/title/tt0099180/?ref_=adv_li_tt
tt0105450,South Central,(1992),R,98 min,"Crime, Drama",6.8,64,5895,/title/tt0105450/?ref_=adv_li_tt
tt4977530,Viceroy's House,(2017),Not Rated,106 min,"Biography, Drama, History",6.7,53,7631,/title/tt4977530/?ref_=adv_li_tt
tt0169458,Le juge est une femme,(1993– ),TV-PG,90 min,"Crime, Drama",5.7,-1,197,/title/tt0169458/?ref_=adv_li_tt
tt0070975,Chico and the Man,(1974–1978),TV-G,30 min,Comedy,6.8,-1,918,/title/tt0070975/?ref_=adv_li_tt
tt1082601,Fighting,(2009),PG-13,105 min,"Action, Crime, Drama",5.6,61,32933,/title/tt1082601/?ref_=adv_li_tt
tt9894660,Baby Done,(2020),No-certificate,91 min,Comedy,6.0,64,1207,/title/tt9894660/?ref_=adv_li_tt
tt0383050,Wee Sing in Sillyville,(1989 Video),TV-Y,58 min,"Family, Musical",8.2,-1,351,/title/tt0383050/?ref_=adv_li_tt
tt1719068,Dark Tourist,(2012),R,84 min,"Drama, Thriller",5.0,40,1133,/title/tt1719068/?ref_=adv_li_tt
tt1515996,A Certain Scientific Railgun,(2009– ),TV-14,24 min,"Animation, Action, Comedy",7.6,-1,1427,/title/tt1515996/?ref_=adv_li_tt
tt2905082,Alex & The List,(2017),TV-PG,112 min,"Comedy, Romance",4.6,-1,1248,/title/tt2905082/?ref_=adv_li_tt
tt0033804,The Lady Eve,(1941),Passed,94 min,"Comedy, Romance",7.8,96,20949,/title/tt0033804/?ref_=adv_li_tt
tt3494220,The Crimson Field,(2014),TV-PG,60 min,"Drama, War",7.8,-1,3126,/title/tt3494220/?ref_=adv_li_tt
tt0079359,I Am Maria,(1979),No-certificate,94 min,Drama,6.8,-1,91,/title/tt0079359/?ref_=adv_li_tt
tt0401398,Kronk's New Groove,(2005 Video),G,75 min,"Animation, Adventure, Comedy",5.8,-1,13007,/title/tt0401398/?ref_=adv_li_tt
